name,role,death_season,death_episode,execution
Ser Arthur Dayne,Member of the Kingsguard of King Aerys II Targaryen,6,3,Stabbed in the back by Howland Reed and partially decapitated by Ned Stark
Osha,Wildling loyal to Rickon Stark,6,4,Stabbed in the neck by Ramsay Bolton
Khal Moro,Khal who presides over khalar vezhven,6,4,Burned alive along with the other khals by Daenerys Targaryen
Three-Eyed Raven,Sorcerer and Brans mentor ,6,5,Killed by the Night King
Leaf,Child of the Forest ,6,5,Committed suicide with explosive device when attacked by Wights to save Bran
Hodor,Servant to the House Stark,6,5,Torn apart by Wights
"Aerys II Targaryen, The Mad King",Lord of the Seven Kingdoms,6,6,Stabbed in the back by Jaime Lannister
Brother Ray,Faith of the Seven Septon,6,7,Hanged by rogue members of the Brotherhood Without Banners
Lem,Member of Brotherhood Without Banners,6,8,Hanged by the Hound
Brynden Tully (The Blackfish),Lord of Riverrun,6,8,Killed defending Riverrun
Lady Crane,Actress in Braavos,6,8,Throat slit by the Waif
The Waif,Acolyte of the Faceless Men,6,8,Killed by Arya Stark
Razdal mo Eraz,Wise Master,6,9,Throat cut by Grey Worm
Belicho Paenymion,Volantis Nobleman,6,9,Throat cut by Grey Worm
Rickon Stark,Lord of House Stark,6,9,Shot with an arrow in the back by Ramsay Bolton
Jon Umber,Lord of House Umber,6,9,Throat torn out and head stabbed by Tormund
Wun Weg Wun Dar Wun,Giant in Wildling army,6,9,Shot through the eye by Ramsay Bolton
Ramsay Bolton,Warden of the North,6,9,Eaten alive by his hounds on the order of Sansa Stark
Grand Maester Pycelle,Grand Maester in Kings Landing,6,10,Stabbed by one of Quburns little birds
Lancel,A brother with the Sparrows,6,10,"Stabbed by one of Qyburns little birds, blown up by wildfire"
The High Sparrow,High Septon,6,10,Burned alive in a wildfire explosion orchestrated by Cersei
Loras Tyrell,Former Lord Commander,6,10,Burned alive in a wildfire explosion orchestrated by Cersei
Mace Tyrell,"Lord of Highgarden, Warden of the South",6,10,Burned alive in a wildfire explosion orchestrated by Cersei
Kevan Lannister,Hand of the King,6,10,Burned alive in a wildfire explosion orchestrated by Cersei
Margaery Tyrell,Queen of the Seven Kingdoms,6,10,Burned alive in a wildfire explosion orchestrated by Cersei
Tommen Baratheon,Lord of the Seven Kingdoms,6,10,Committed suicide by jumping from a window following Maergerys death by wildfire as orchestrated by Cersei
Walder Rivers,Bastard son of Walder Frey,6,10,Killed and baked in a pie by Arya Stark
Lothar Frey,Son of Walder Frey,6,10,Killed and baked into a pie by Arya Stark
Walder Frey,"Lord of the Crossing, Lord of Riverrun",6,10,Throat slit by Arya Stark
Lyanna Stark,"Sister of Eddard Stark, Mother of Jon Snow",6,10,Died after giving birth to Jon Snow during Roberts Rebellion
